Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
4/8/2016,10:55:01,511,7492,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:01,713,7493,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:01,916,7494,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:02,103,7495,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:02,306,7496,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:02,509,7497,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:02,712,7498,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:02,915,7499,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:03,102,7500,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:03,305,7501,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:03,507,7502,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:03,710,7503,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:03,913,7504,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:04,116,7505,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:04,303,7506,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:04,506,7507,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:04,709,7508,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:04,911,7509,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:05,114,7510,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:05,317,7511,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:05,504,7512,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:05,707,7513,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:05,910,7514,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:06,113,7515,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:06,315,7516,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:06,518,7517,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:06,705,7518,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:06,908,7519,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:07,111,7520,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:07,314,7521,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:07,517,7522,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:07,704,7523,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:07,907,7524,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:08,109,7525,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:08,312,7526,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:08,515,7527,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:08,702,7528,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:08,905,7529,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:09,108,7530,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:09,311,7531,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:09,545,7532,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:09,716,7533,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:09,903,7534,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:10,106,7535,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:10,309,7536,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:10,512,7537,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:10,715,7538,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:10,917,7539,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:11,136,7540,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:11,307,7541,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:11,510,7542,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:11,713,7543,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:11,916,7544,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:12,103,7545,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:12,306,7546,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:12,509,7547,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:12,711,7548,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:12,914,7549,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:13,117,7550,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:13,304,7551,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:13,507,7552,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:13,710,7553,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:13,913,7554,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:14,115,7555,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:14,303,7556,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:14,505,7557,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:14,708,7558,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:14,911,7559,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:15,114,7560,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:15,317,7561,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:15,504,7562,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:15,707,7563,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:15,909,7564,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:16,112,7565,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:16,315,7566,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:16,518,7567,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:16,705,7568,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:16,908,7569,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:17,111,7570,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:17,313,7571,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:17,516,7572,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:17,703,7573,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:17,906,7574,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:18,109,7575,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:18,312,7576,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:18,515,7577,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:18,702,7578,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:18,905,7579,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:19,107,7580,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:19,310,7581,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:19,513,7582,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:19,716,7583,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:19,903,7584,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:20,106,7585,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:20,309,7586,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:20,511,7587,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:20,714,7588,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:20,917,7589,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:21,104,7590,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:21,307,7591,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:21,510,7592,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:21,713,7593,81,78,82,83,84,85,82,82,84,83,84,82
4/8/2016,10:55:21,915,7594,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:22,118,7595,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:22,305,7596,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:22,508,7597,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:22,711,7598,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:22,914,7599,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:23,117,7600,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:23,304,7601,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:23,507,7602,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:23,709,7603,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:23,912,7604,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:24,115,7605,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:24,302,7606,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:24,505,7607,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:24,708,7608,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:24,911,7609,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:25,113,7610,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:25,316,7611,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:25,503,7612,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:25,706,7613,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:25,909,7614,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:26,127,7615,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:26,315,7616,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:26,517,7617,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:26,751,7618,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:26,907,7619,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:27,110,7620,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:27,313,7621,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:27,516,7622,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:27,703,7623,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:27,906,7624,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:28,109,7625,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:28,311,7626,81,78,82,84,84,85,82,82,84,83,84,82
