"","Events","diff_time","area","amplitude","well"
"863","1095",0.957000017166138,0.527206981681983,0.550895477769316,"W4"
"864","1096",2.39599990844727,1.31994551429929,0.550895477769316,"W4"
"865","1097",0.192999839782715,0.1063227389465,0.550895477769316,"W4"
"866","1098",1.99900007247925,1.10124009998935,0.550895477769316,"W4"
"867","1100",0.20799994468689,0.114586228904275,0.550895477769316,"W4"
"868","1101",3.53299999237061,1.946313718756,0.550895477769316,"W4"
"869","1102",1.51900005340576,0.836810260152584,0.550895477769316,"W4"
"870","1103",2.33399987220764,1.28578997471335,0.550895477769316,"W4"
"871","1104",6.40500020980835,3.52848565069494,0.550895477769316,"W4"
"872","1105",0.203999996185303,0.112382675363441,0.550895477769316,"W4"
"873","1106",2.94599986076355,1.62293800080367,0.550895477769316,"W4"
"874","1107",0.194000005722046,0.106873725839497,0.550895477769316,"W4"
"875","1108",2.52900004386902,1.39321468744584,0.550895477769316,"W4"
"876","1109",0.516000032424927,0.284262084391713,0.550895477769316,"W4"
"877","1110",3.13800001144409,1.72871001554461,0.550895477769316,"W4"
"878","1112",3.29500007629395,1.81520064127989,0.550895477769316,"W4"
"879","1114",1.90599989891052,1.05000672493858,0.550895477769316,"W4"
"880","1115",1,0.550895477769316,0.550895477769316,"W4"
"881","1116",3.53699994087219,1.94851727229683,0.550895477769316,"W4"
"882","1117",0.194999933242798,0.107424581388776,0.550895477769316,"W4"
"883","1118",2.47499990463257,1.36346625494157,0.550895477769316,"W4"
"884","1119",3.53499984741211,1.94741542985455,0.550895477769316,"W4"
"885","1121",3.56199979782104,1.96228958043483,0.550895477769316,"W4"
"886","1123",1.92499995231628,1.06047376843719,0.550895477769316,"W4"
"887","1124",1,0.550895477769316,0.550895477769316,"W4"
"888","1125",2.57299995422363,1.41745403908246,0.550895477769316,"W4"
"889","1126",1.32500004768372,0.729936534313087,0.550895477769316,"W4"
"890","1127",1.14999985694885,0.633529720628483,0.550895477769316,"W4"
"891","1128",1.54199981689453,0.849480725848311,0.550895477769316,"W4"
"892","1129",0.60099983215332,0.331088089673382,0.550895477769316,"W4"
"893","1130",0.604000091552734,0.332740919008654,0.550895477769316,"W4"
"894","1131",1.375,0.75748128193281,0.550895477769316,"W4"
"895","1132",3.33500003814697,1.83723643937566,0.550895477769316,"W4"
"896","1134",0.401999950408936,0.221459954743772,0.550895477769316,"W4"
"897","1135",1.48799991607666,0.819732424687754,0.550895477769316,"W4"
"898","1136",1.11699986457825,0.615350174065095,0.550895477769316,"W4"
"899","1137",0.192000150680542,0.105772014740938,0.550895477769316,"W4"
"900","1138",2.48099994659424,1.36677165092468,0.550895477769316,"W4"
"901","1139",0.48799991607666,0.268836946918438,0.550895477769316,"W4"
"902","1140",1.19700002670288,0.659421901600368,0.550895477769316,"W4"
"903","1144",2.54900002479553,1.40423258649373,0.550895477769316,"W4"
"904","1146",1.007000207901,0.554751860645423,0.550895477769316,"W4"
"905","1147",0.396999835968018,0.218705414309941,0.550895477769316,"W4"
"906","1148",1.38399982452393,0.762439244563758,0.550895477769316,"W4"
"907","1149",0.924999952316284,0.509578290667874,0.550895477769316,"W4"
"908","1151",2.55499982833862,1.40753785113313,0.550895477769316,"W4"
"909","1152",0.967999935150146,0.533266786755207,0.550895477769316,"W4"
"910","1153",3.11500000953674,1.71603941850517,0.550895477769316,"W4"
"911","1155",0.562999963760376,0.31015413401988,0.550895477769316,"W4"
"912","1156",2.98299980163574,1.6433211009079,0.550895477769316,"W4"
"913","1157",0.210000038146973,0.115688071346551,0.550895477769316,"W4"
"914","1158",2.54199981689453,1.40037620361763,0.550895477769316,"W4"
"915","1159",0.921999931335449,0.507925592676319,0.550895477769316,"W4"
"916","1160",2.19200015068054,1.20756297027957,0.550895477769316,"W4"
"917","1161",2.56399989128113,1.41249594510779,0.550895477769316,"W4"
